"Hull","Name","Name (Hull)","Ship Alt Title","Ship Type","Class","UIC","Status","Fleet","Date Status Last Changed","Homeport","Maintenance Category","Berth","Force","Builder","Award Date","Commission Date","Keel Date","Inactivation Date","Launch Date","Decommission Date","Delivery Date","InService Date","Out Service Date","Stricken Date","Overall Length","Waterline Length","Extreme Beam","Waterline Beam","Max Navigational Draft","Draft Limit","Light Displacement","Full Displacement","Dead Weight","Hull Material","No. of Propellers","No. of Waterjets","Propulsion Type","Accommodations Officers","Accommodations Enlisted","Custodian","Planning Yard","Nuclear Planning Yard","Ships Program Manager","Comments","Last Updated"
"LCS 19","ST LOUIS","USS ST LOUIS (LCS 19)","","LITTORAL COMBAT SHIP","LCS","20157","Active, in commission","U.S. ATLANTIC FLEET","08/08/2020","MAYPORT, FL","","","Battle Force","Marinette Marine Corp.","12/29/2010","08/08/2020","05/17/2017","","12/15/2018","","02/06/2020","","","","388 ft","351 ft","58 ft","46 ft","14 ft","14 ft","2760 tons","3410 tons","650 tons","Steel hull, aluminum superstructure.","","4","Diesel - Gas Turbine","9","41","US NAVY","Huntington Ingalls Incorporated","","PMS 501","","08/11/2020"
"LKA 116","ST LOUIS","ST LOUIS (LKA 116)","(ex - AKA 116)","AMPHIBIOUS CARGO SHIP","LKA 113","05847","Disposed of in support of Fleet training exercise","","09/23/2018","","","","","Newport News Shipbuilding","06/11/1965","11/22/1969","04/03/1968","","01/04/1969","11/02/1992","10/31/1969","","","08/31/2015","576 ft","550 ft","82 ft","82 ft","26 ft","28 ft","10097 tons","18465 tons","8368 tons","Steel hull, steel superstructure.","1","","Steam Turbine","50","592","","","","","","12/01/2020"
"DE 411","STAFFORD","STAFFORD (DE 411)","","ESCORT SHIP","DE 339","53411","Disposed of, by Navy Sale","","07/01/1973","","","","","","","","","","","","","","","03/15/1972","","","","","","","","","","","","","","","","SCHOOLS, ORGANIZATIONS AND PRIVATE ENTERPRISES","","","","","01/02/2002"
"ATA 193","STALLION","STALLION (ATA 193)","(ex - ATR 120)","AUXILIARY OCEAN TUG","ATA 174","08120","Disposed of through the Security Assistance Program (SAP), transferred, Foreign Assistance Act (FAA) Section 516, Southern Region Amendment","","06/10/1997","","","","","Levingston Shipbuilding Co.","08/16/1943","02/01/1945","10/26/1944","","11/24/1944","","01/31/1945","","","06/10/1997","143 ft","127 ft","34 ft","34 ft","15 ft","14 ft","610 tons","860 tons","250 tons","Steel hull, steel superstructure.","1","","Diesel Electric","7","46","DOMINICAN REPUBLIC","","","","","06/29/2000"
"AGOS 1","STALWART","STALWART (AGOS 1)","","SURVEILLANCE SHIP","AGOS 1","21179","Disposed of by Navy title transfer to the Maritime Administration","","01/31/2004","","","","","Tacoma Boatbuilding Co., Inc.","09/26/1980","","11/03/1982","","07/11/1983","","04/12/1984","","","12/02/2002","224 ft","204 ft","43 ft","43 ft","15 ft","16 ft","1565 tons","2535 tons","970 tons","Steel hull, steel superstructure.","2","","Diesel Electric","7","13","MARITIME ADMINISTRATION (MARAD)","","","","","09/14/2009"
"DE 247","STANTON","STANTON (DE 247)","","ESCORT SHIP","DE 129","02947","Disposed of in support of Fleet training exercise","","10/01/1972","","","","","","","","","","","","","","","12/01/1970","","","","","","","","","","","","","","","","US NAVY","","","","","01/02/2002"
"FFG 31","STARK","STARK (FFG 31)","","GUIDED MISSILE FRIGATE","FFG 7","21056","Disposed of by Dismantling (Scrapping/Recycling)","","06/21/2006","","","","","Todd Shipyards Corp., Seattle Div","01/23/1978","10/23/1982","08/24/1979","","05/30/1980","05/07/1999","10/14/1982","","","05/07/1999","445 ft","408 ft","47 ft","47 ft","25 ft","16 ft","3013 tons","3897 tons","884 tons","Steel hull, aluminum superstructure.","1","","Gas Turbines","17","198","","","","","","12/12/2017"
"MSF 64","STARLING","STARLING (MSF 64)","(ex - AM 64)","MINESWEEPER, FLEET STEEL HULLED","MSF 57","07564","Disposed of through the Security Assistance Program (SAP), transferred, cash sale, ex-US fleet hull foreign military sale case number assigned","","02/01/1973","","","","","","","","","","","","","","","07/01/1972","","","","","","","","","","","","","","","","MEXICO","","","","","01/02/2002"
"AFDM 14","STEADFAST","STEADFAST (AFDM 14)","(ex - YFD 71)","MEDIUM AUXILIARY FLOATING DRY DOCK (N-S-P)","AFDM 14","13871","Disposed of by transfer to other Government Agencies, States. Schools, Sea Scouts, etc.","","08/25/1999","","","","","Pollock-Stockton Shipbuilding Co.","","","","","","","07/01/1945","","","02/07/1999","528 ft","528 ft","118 ft","118 ft","5 ft","14 ft","5900 tons","17500 tons","11600 tons","Steel hull, steel superstructure.","","","","3","113","SCHOOLS, ORGANIZATIONS AND PRIVATE ENTERPRISES","","","","","06/29/2000"
"FF 1065","STEIN","STEIN (FF 1065)","(ex - DE 1065)","FRIGATE","FF 1052","54060","Disposed of through the Security Assistance Program (SAP), transferred, cash sale, ex-US fleet hull foreign military sale case number assigned","","01/29/1997","","","","","Lockheed Shipbuilding & Construction Co.","07/22/1964","01/08/1972","06/01/1970","","12/19/1970","03/19/1992","12/30/1971","","","01/11/1995","438 ft","415 ft","47 ft","47 ft","25 ft","17 ft","3226 tons","4207 tons","981 tons","Steel hull, aluminum superstructure.","1","","Steam Turbines","17","228","MEXICO","","","","","10/11/2001"
